I1;G1;AR1;S1;PCD2;QPCD0;PE1;AU2;MO6;ED2;KM1;TP11;TM3;FR4;SM1;T1;PM2;EDM1;ECM7 ;MOM2;PP2;EDP1;ECP9;MOP2;DF2;QDF3;IS1;PT4;CAT1;NM0
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM1;TP11;TM4;FR5;SM1;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP14 ;ECP9;MOP2;DF1;QDF0;IS1;PT2;CAT1;NM0
I1;G4;AR1;S3;PCD1;QPCD8;PE2;AU0;MO7;ED2;KM2;TP11;TM2;FR5;SM1;T1;PM2;EDM2;ECM9;MOM2;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G1;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM4;TP11;TM4;FR4;SM1;T1;PM2;EDM1;ECM9;MOM7;PP2;EDP1;ECP9;MOP6;DF1;QDF0;IS1;PT1;CAT2;NM2
I2;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM2;TP4;TM4;FR4;SM1;T1;PM2;EDM1;ECM5 ;MOM2;PP2;EDP8;ECP8;MOP6;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G1;AR1;S3;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM4;TP11;TM4;FR4;SM1;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP9;MOP10;DF1;QDF0;IS1;PT4;CAT2;NM2
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO15;ED2;KM6;TP9;TM1;FR2;SM1;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP1;ECP9;MOP11;DF1;QDF0;IS2;PT4;CAT2;NM1
I2;G1;AR2;S1;PCD2;QPCD0;PE1;AU6;MO7;ED2;KM1;TP11;TM5;FR5;SM1;T1;PM2;EDM1;ECM9;MOM15;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS1;PT4;CAT1;NM0
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM1;TP1;TM3;FR3;SM1;T1;PM2;EDM1;ECM10;MOM5;PP1;EDP0;ECP0;MOP0;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G2;AR1;S3;PCD2;QPCD0;PE1;AU2;MO10;ED2;KM2;TP2;TM2;FR5;SM1;T1;PM2;EDM1;ECM7 ;MOM6;PP2;EDP1;ECP9;MOP5;DF1;QDF0;IS2;PT2;CAT1;NM0
I1;G1;AR2;S5;PCD2;QPCD0;PE1;AU2;MO7;ED2;KM3;TP11;TM2;FR4;SM1;T1;PM2;EDM1;ECM7 ;MOM7;PP2;EDP1;ECP7 ;MOP2;DF1;QDF0;IS1;PT2;CAT2;NM1
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM2;TP11;TM2;FR5;SM1;T1;PM2;EDM1;ECM9;MOM2;PP2;EDP12;ECP8;MOP8;DF1;QDF0;IS2;PT4;CAT1;NM0
I1;G2;AR1;S1;PCD2;QPCD0;PE2;AU0;MO11;ED2;KM6;TP9;TM1;FR2;SM1;T1;PM2;EDM1;ECM9;MOM8;PP2;EDP1;ECP9;MOP11;DF1;QDF0;IS2;PT4;CAT2;NM1
I1;G1;AR3;S3;PCD2;QPCD0;PE2;AU0;MO6;ED2;KM1;TP11;TM4;FR3;SM1;T1;PM2;EDM12;ECM7 ;MOM6;PP2;EDP11;ECP2 ;MOP5;DF1;QDF0;IS1;PT4;CAT2;NM2
